"","imdbRating","budget","release_month","duration_minutes","total_number_of_spoken_languages","total_number_of_genres","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_scifi","genre_shortfilm","genre_thriller","genre_war","main_actor1_is_female","main_actor1_star_meter","main_actor2_star_meter","main_actor3_star_meter","total_number_of_actors","log_duration","country_prod_d","language_used_d"
"1",7.2,6e+06,5,60,1,3,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",563,1264,170,13,3.61091791264422,0,1
"2",5.5,0,9,90,1,2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",1617,1962,1914,13,3.8286413964891,1,1
"3",7.1,3e+07,8,60,1,3,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",372,1674,2189,10,3.40119738166216,1,1
"4",6,0,10,120,2,2,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1758,745,1314,15,4.29045944114839,1,1
"5",6.8,3.5e+07,3,120,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",807,2130,583,13,4.30406509320417,1,1
"6",7.6,4e+07,4,120,0,3,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1527,1326,1874,21,4.36944785246702,1,0
"7",5.7,1.3e+07,8,90,1,2,"0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0",15,2275,1942,34,4.04305126783455,1,1
"8",7.8,6.5e+07,12,90,1,3,"1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",1135,1898,126,87,4.21950770517611,1,1
"9",7.6,0,11,120,1,3,"0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0",1529,932,2561,11,4.53259949315326,1,1
"10",5.9,3.5e+07,12,90,3,3,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",746,1874,1636,36,4.15888308335967,1,1
"11",7,0,3,90,1,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0",38,502,545,15,3.71357206670431,0,1
"12",5.8,2e+08,10,150,9,3,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",1882,373,1096,52,4.69134788222914,0,1
"13",7,0,12,90,1,3,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1",301,268,2963,29,4.12713438504509,0,0
"14",7.4,0,3,90,2,2,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1043,2216,539,15,3.97029191355212,0,1
"15",7.8,7500000,7,90,3,3,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1615,2180,2850,23,3.8286413964891,1,1
"16",6.4,0,12,90,1,3,"0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0",1739,2171,560,14,4.04305126783455,1,1
"17",5.9,0,3,90,2,3,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",65,2199,1490,13,4.11087386417331,1,1
"18",5.6,5.4e+07,11,90,4,2,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1",308,1082,761,5,3.98898404656427,0,0
"19",8.9,340000,3,90,1,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",810,2315,2816,17,3.85014760171006,1,1
"20",8.3,2e+07,10,120,1,3,"0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0",702,1407,438,93,4.44265125649032,1,1
"21",7.7,1.8e+07,11,90,1,3,"0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1061,1412,1114,29,3.80666248977032,0,1
"22",6.1,3.7e+07,4,90,3,3,"0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1",1288,238,1713,50,3.89182029811063,1,1
"23",6.6,5.5e+07,3,90,1,3,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",811,1821,1270,21,4.02535169073515,1,1
"24",7.3,0,4,150,2,3,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",34,542,3091,6,4.68213122712422,0,0
"25",6.9,0,2,90,3,3,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1",1323,1258,3111,23,3.85014760171006,0,1
"26",5.7,7.6e+07,6,90,2,2,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",484,2187,299,40,4.06044301054642,1,1
