"","duration_minutes","genre_drama","total_number_of_actors","genre_action","genre_documentary","genre_horror","genre_comedy","genre_family","genre_filmnoir","genre_animation","budget","budget_duration","main_actor1_is_female","duration_genres","budget_genres","short_duration","release_month","genre_musical","genre_war","action_budget","budget_language","duration_actors","genre_biography","total_number_of_spoken_languages","war_budget","imdbRating"
"1",60,1,13,0,0,0,1,0,0,0,6e+06,3.6e+08,0,180,1.8e+07,0,"5",0,0,0,6e+06,780,0,1,0,7.2
"2",90,0,13,0,0,0,0,0,0,0,0,0,0,180,0,0,"9",0,0,0,0,1170,0,1,0,5.5
"3",60,0,10,1,0,0,0,0,0,1,3e+07,1.8e+09,0,180,9e+07,0,"8",0,0,3e+07,3e+07,600,0,1,0,7.1
"4",120,0,15,0,0,0,1,0,0,0,0,0,0,240,0,0,"10",0,0,0,0,1800,0,2,0,6
"5",120,1,13,0,0,0,0,0,0,0,3.5e+07,4.2e+09,0,360,1.05e+08,0,"3",0,0,0,3.5e+07,1560,0,1,0,6.8
"6",120,1,21,0,0,0,0,0,0,0,4e+07,4.8e+09,0,360,1.2e+08,0,"4",0,0,0,0,2520,1,0,0,7.6
"7",90,1,34,0,0,0,0,0,0,0,1.3e+07,1.17e+09,0,180,2.6e+07,0,"8",0,0,0,1.3e+07,3060,0,1,0,5.7
"8",90,0,87,1,0,0,0,0,0,0,6.5e+07,5.85e+09,0,270,1.95e+08,0,"12",0,0,6.5e+07,6.5e+07,7830,0,1,0,7.8
"9",120,1,11,0,0,0,0,1,0,0,0,0,0,360,0,0,"11",0,0,0,0,1320,0,1,0,7.6
"10",90,0,36,1,0,0,1,0,0,0,3.5e+07,3.15e+09,0,270,1.05e+08,0,"12",0,1,3.5e+07,1.05e+08,3240,0,3,3.5e+07,5.9
"11",90,1,15,0,0,0,0,0,0,0,0,0,0,180,0,0,"3",0,0,0,0,1350,0,1,0,7
"12",150,0,52,1,0,0,0,0,0,0,2e+08,3e+10,0,450,6e+08,0,"10",0,0,2e+08,1.8e+09,7800,0,9,0,5.8
"13",90,1,29,0,0,0,1,0,0,0,0,0,1,270,0,0,"12",0,0,0,0,2610,0,1,0,7
"14",90,0,15,1,0,0,1,0,0,0,0,0,0,180,0,0,"3",0,0,0,0,1350,0,2,0,7.4
"15",90,1,23,0,0,0,1,0,0,0,7500000,6.75e+08,0,270,22500000,0,"7",0,0,0,22500000,2070,0,3,0,7.8
"16",90,1,14,0,0,0,1,1,0,0,0,0,0,270,0,0,"12",0,0,0,0,1260,0,1,0,6.4
"17",90,0,13,0,0,0,0,0,0,0,0,0,0,270,0,0,"3",0,1,0,0,1170,0,2,0,5.9
"18",90,0,5,0,0,0,1,0,0,0,5.4e+07,4.86e+09,1,180,1.08e+08,0,"11",0,0,0,2.16e+08,450,0,4,0,5.6
"19",90,1,17,0,0,0,0,0,0,0,340000,30600000,0,90,340000,0,"3",0,0,0,340000,1530,0,1,0,8.9
"20",120,1,93,0,0,0,0,0,0,0,2e+07,2.4e+09,0,360,6e+07,0,"10",0,0,0,2e+07,11160,1,1,0,8.3
"21",90,1,29,0,0,0,0,0,0,0,1.8e+07,1.62e+09,0,270,5.4e+07,0,"11",0,0,0,1.8e+07,2610,1,1,0,7.7
"22",90,0,50,0,0,0,1,0,0,0,3.7e+07,3.33e+09,1,270,1.11e+08,0,"4",0,0,0,1.11e+08,4500,0,3,0,6.1
"23",90,1,21,1,0,0,0,0,0,0,5.5e+07,4.95e+09,0,270,1.65e+08,0,"3",0,0,5.5e+07,5.5e+07,1890,0,1,0,6.6
"24",150,1,6,1,0,0,0,0,0,0,0,0,0,450,0,0,"4",0,0,0,0,900,0,2,0,7.3
"25",90,1,23,0,0,0,1,0,0,0,0,0,1,270,0,0,"2",0,0,0,0,2070,0,3,0,6.9
"26",90,0,40,1,0,0,0,0,0,0,7.6e+07,6.84e+09,0,180,1.52e+08,0,"6",0,0,7.6e+07,1.52e+08,3600,0,2,0,5.7
"27",90,0,44,1,0,0,1,0,0,0,6.1e+07,5.49e+09,0,270,1.83e+08,0,"8",0,0,6.1e+07,1.22e+08,3960,0,2,0,6.8
"28",120,1,20,0,0,0,0,0,0,0,5e+06,6e+08,0,360,1.5e+07,0,"12",0,0,0,5e+06,2400,0,1,0,7.2
"29",90,1,11,0,0,0,1,0,0,0,6e+06,5.4e+08,0,270,1.8e+07,0,"2",0,0,0,6e+06,990,0,1,0,5.8
"30",120,0,60,0,0,0,0,0,0,0,10500000,1.26e+09,0,360,31500000,0,"4",0,0,0,2.1e+07,7200,0,2,0,8.3
"31",90,0,13,0,0,0,1,0,0,0,1.3e+07,1.17e+09,0,90,1.3e+07,0,"3",0,0,0,1.3e+07,1170,0,1,0,5.8
"32",120,1,27,0,0,0,0,0,0,0,2e+07,2.4e+09,0,360,6e+07,0,"9",0,0,0,2e+07,3240,0,1,0,7.8
"33",90,0,19,1,0,0,1,0,0,0,4.2e+07,3.78e+09,0,270,1.26e+08,0,"3",0,0,4.2e+07,4.2e+07,1710,0,1,0,7.2
"34",90,0,10,0,0,0,0,0,0,0,0,0,0,180,0,0,"5",0,0,0,0,900,0,1,0,7
"35",90,1,51,0,0,0,1,0,0,0,0,0,0,270,0,0,"2",0,0,0,0,4590,1,1,0,7.4
"36",120,1,17,0,0,0,0,0,0,0,1.5e+07,1.8e+09,0,240,3e+07,0,"12",0,0,0,1.5e+07,2040,0,1,0,7.7
"37",90,0,31,0,0,0,1,0,0,0,3e+07,2.7e+09,1,180,6e+07,0,"1",0,0,0,3e+07,2790,0,1,0,6.1
"38",90,0,22,0,0,1,0,0,0,0,5e+06,4.5e+08,0,270,1.5e+07,0,"10",0,0,0,1e+07,1980,0,2,0,7.7
"39",90,0,52,0,0,1,0,0,0,0,1.5e+07,1.35e+09,1,270,4.5e+07,0,"4",0,0,0,1.5e+07,4680,0,1,0,7
"40",150,1,20,0,0,0,1,0,0,0,9e+06,1.35e+09,0,450,2.7e+07,0,"12",0,0,0,1.8e+07,3000,0,2,0,8.5
"41",120,1,44,0,0,0,0,0,0,0,5.5e+07,6.6e+09,0,360,1.65e+08,0,"9",0,0,0,5.5e+07,5280,0,1,0,7.8
"42",90,1,27,0,0,0,0,0,0,0,0,0,0,270,0,0,"8",0,0,0,0,2430,0,1,0,7.6
"43",90,0,42,0,0,1,0,0,0,0,3e+07,2.7e+09,0,180,6e+07,0,"10",0,0,0,3e+07,3780,0,1,0,6.6
"44",60,0,15,1,0,0,1,0,0,0,2.8e+07,1.68e+09,0,180,8.4e+07,0,"8",0,0,2.8e+07,8.4e+07,900,0,3,0,6.2
